userId,target,averageListeningScore,averageReadingScore,averageTotalScore,highestScore,topicStats,skillStats,learningProgress,testHistory,weakness
U011,955,350,375,725,945,"[{""Topic"": ""Grammar"", ""totalCorrect"": 6, ""totalIncorrect"": 10, ""averageTime"": 28}, {""Topic"": ""Writing"", ""totalCorrect"": 9, ""totalIncorrect"": 6, ""averageTime"": 34}]","[{""skill"": ""listening"", ""totalCorrect"": 11, ""totalIncorrect"": 0, ""totalTime"": 301}, {""skill"": ""reading"", ""totalCorrect"": 26, ""totalIncorrect"": 5, ""totalTime"": 216}]","[{""L106"": {""percent"": 14}}, {""L109"": {""percent"": 14}}]","[{""T101"": {""avgScore"": 800, ""attemp"": 1}}, {""T102"": {""avgScore"": 875, ""attemp"": 3}}, {""T106"": {""avgScore"": 500, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U012,975,445,360,805,815,"[{""Topic"": ""Grammar"", ""totalCorrect"": 14, ""totalIncorrect"": 8, ""averageTime"": 32}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 8, ""totalIncorrect"": 7, ""averageTime"": 22}]","[{""skill"": ""listening"", ""totalCorrect"": 25, ""totalIncorrect"": 1, ""totalTime"": 400}, {""skill"": ""reading"", ""totalCorrect"": 14, ""totalIncorrect"": 0, ""totalTime"": 278}]","[{""L105"": {""percent"": 10}}, {""L103"": {""percent"": 58}}]","[{""T108"": {""avgScore"": 480, ""attemp"": 4}}, {""T109"": {""avgScore"": 990, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U013,830,365,450,815,820,"[{""Topic"": ""Writing"", ""totalCorrect"": 13, ""totalIncorrect"": 10, ""averageTime"": 29}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 15, ""totalIncorrect"": 5, ""averageTime"": 36}]","[{""skill"": ""listening"", ""totalCorrect"": 27, ""totalIncorrect"": 2, ""totalTime"": 224}, {""skill"": ""reading"", ""totalCorrect"": 10, ""totalIncorrect"": 5, ""totalTime"": 326}]","[{""L108"": {""percent"": 84}}, {""L107"": {""percent"": 87}}]","[{""T108"": {""avgScore"": 635, ""attemp"": 4}}, {""T106"": {""avgScore"": 865, ""attemp"": 3}}, {""T103"": {""avgScore"": 985, ""attemp"": 4}}, {""T109"": {""avgScore"": 775, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U014,940,370,385,755,860,"[{""Topic"": ""Listening"", ""totalCorrect"": 19, ""totalIncorrect"": 2, ""averageTime"": 28}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 12, ""totalIncorrect"": 4, ""averageTime"": 24}]","[{""skill"": ""listening"", ""totalCorrect"": 15, ""totalIncorrect"": 6, ""totalTime"": 333}, {""skill"": ""reading"", ""totalCorrect"": 30, ""totalIncorrect"": 5, ""totalTime"": 327}]","[{""L101"": {""percent"": 99}}, {""L107"": {""percent"": 63}}]","[{""T109"": {""avgScore"": 850, ""attemp"": 2}}, {""T102"": {""avgScore"": 810, ""attemp"": 4}}, {""T105"": {""avgScore"": 760, ""attemp"": 2}}, {""T103"": {""avgScore"": 600, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U015,850,395,445,840,845,"[{""Topic"": ""Reading Comprehension"", ""totalCorrect"": 20, ""totalIncorrect"": 3, ""averageTime"": 31}, {""Topic"": ""Writing"", ""totalCorrect"": 7, ""totalIncorrect"": 2, ""averageTime"": 23}]","[{""skill"": ""listening"", ""totalCorrect"": 24, ""totalIncorrect"": 0, ""totalTime"": 343}, {""skill"": ""reading"", ""totalCorrect"": 17, ""totalIncorrect"": 10, ""totalTime"": 276}]","[{""L104"": {""percent"": 65}}, {""L109"": {""percent"": 47}}]","[{""T107"": {""avgScore"": 630, ""attemp"": 5}}, {""T105"": {""avgScore"": 355, ""attemp"": 3}}, {""T109"": {""avgScore"": 990, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U016,875,450,375,825,835,"[{""Topic"": ""Grammar"", ""totalCorrect"": 16, ""totalIncorrect"": 5, ""averageTime"": 21}, {""Topic"": ""Writing"", ""totalCorrect"": 5, ""totalIncorrect"": 3, ""averageTime"": 24}]","[{""skill"": ""listening"", ""totalCorrect"": 28, ""totalIncorrect"": 9, ""totalTime"": 361}, {""skill"": ""reading"", ""totalCorrect"": 23, ""totalIncorrect"": 7, ""totalTime"": 381}]","[{""L104"": {""percent"": 27}}, {""L108"": {""percent"": 55}}]","[{""T102"": {""avgScore"": 425, ""attemp"": 3}}, {""T105"": {""avgScore"": 310, ""attemp"": 1}}, {""T103"": {""avgScore"": 990, ""attemp"": 3}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U017,775,365,365,730,730,"[{""Topic"": ""Writing"", ""totalCorrect"": 20, ""totalIncorrect"": 3, ""averageTime"": 27}, {""Topic"": ""Listening"", ""totalCorrect"": 19, ""totalIncorrect"": 7, ""averageTime"": 31}]","[{""skill"": ""listening"", ""totalCorrect"": 17, ""totalIncorrect"": 4, ""totalTime"": 248}, {""skill"": ""reading"", ""totalCorrect"": 20, ""totalIncorrect"": 2, ""totalTime"": 296}]","[{""L102"": {""percent"": 52}}, {""L107"": {""percent"": 25}}]","[{""T102"": {""avgScore"": 460, ""attemp"": 1}}, {""T108"": {""avgScore"": 990, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U018,835,405,415,820,830,"[{""Topic"": ""Grammar"", ""totalCorrect"": 7, ""totalIncorrect"": 1, ""averageTime"": 21}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 19, ""totalIncorrect"": 6, ""averageTime"": 24}]","[{""skill"": ""listening"", ""totalCorrect"": 29, ""totalIncorrect"": 1, ""totalTime"": 222}, {""skill"": ""reading"", ""totalCorrect"": 26, ""totalIncorrect"": 6, ""totalTime"": 369}]","[{""L107"": {""percent"": 100}}, {""L104"": {""percent"": 83}}]","[{""T108"": {""avgScore"": 570, ""attemp"": 4}}, {""T102"": {""avgScore"": 990, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U019,880,450,370,820,830,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 5, ""totalIncorrect"": 8, ""averageTime"": 36}, {""Topic"": ""Listening"", ""totalCorrect"": 16, ""totalIncorrect"": 0, ""averageTime"": 29}]","[{""skill"": ""listening"", ""totalCorrect"": 17, ""totalIncorrect"": 8, ""totalTime"": 226}, {""skill"": ""reading"", ""totalCorrect"": 30, ""totalIncorrect"": 0, ""totalTime"": 372}]","[{""L108"": {""percent"": 81}}, {""L101"": {""percent"": 28}}]","[{""T101"": {""avgScore"": 665, ""attemp"": 1}}, {""T102"": {""avgScore"": 625, ""attemp"": 2}}, {""T104"": {""avgScore"": 470, ""attemp"": 4}}, {""T106"": {""avgScore"": 990, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U020,875,365,405,770,775,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 10, ""totalIncorrect"": 10, ""averageTime"": 20}, {""Topic"": ""Grammar"", ""totalCorrect"": 9, ""totalIncorrect"": 0, ""averageTime"": 31}]","[{""skill"": ""listening"", ""totalCorrect"": 17, ""totalIncorrect"": 4, ""totalTime"": 371}, {""skill"": ""reading"", ""totalCorrect"": 25, ""totalIncorrect"": 0, ""totalTime"": 258}]","[{""L109"": {""percent"": 72}}, {""L102"": {""percent"": 56}}]","[{""T107"": {""avgScore"": 895, ""attemp"": 4}}, {""T105"": {""avgScore"": 310, ""attemp"": 4}}, {""T108"": {""avgScore"": 600, ""attemp"": 5}}, {""T101"": {""avgScore"": 990, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U021,980,375,435,810,920,"[{""Topic"": ""Listening"", ""totalCorrect"": 17, ""totalIncorrect"": 2, ""averageTime"": 29}, {""Topic"": ""Grammar"", ""totalCorrect"": 16, ""totalIncorrect"": 5, ""averageTime"": 39}]","[{""skill"": ""listening"", ""totalCorrect"": 25, ""totalIncorrect"": 9, ""totalTime"": 268}, {""skill"": ""reading"", ""totalCorrect"": 25, ""totalIncorrect"": 1, ""totalTime"": 316}]","[{""L101"": {""percent"": 67}}, {""L105"": {""percent"": 64}}]","[{""T101"": {""avgScore"": 470, ""attemp"": 5}}, {""T104"": {""avgScore"": 900, ""attemp"": 3}}, {""T105"": {""avgScore"": 760, ""attemp"": 3}}, {""T103"": {""avgScore"": 990, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U022,990,395,445,840,965,"[{""Topic"": ""Listening"", ""totalCorrect"": 9, ""totalIncorrect"": 9, ""averageTime"": 36}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 19, ""totalIncorrect"": 10, ""averageTime"": 26}]","[{""skill"": ""listening"", ""totalCorrect"": 30, ""totalIncorrect"": 7, ""totalTime"": 301}, {""skill"": ""reading"", ""totalCorrect"": 23, ""totalIncorrect"": 7, ""totalTime"": 337}]","[{""L105"": {""percent"": 35}}, {""L106"": {""percent"": 47}}]","[{""T109"": {""avgScore"": 960, ""attemp"": 3}}, {""T107"": {""avgScore"": 875, ""attemp"": 5}}, {""T104"": {""avgScore"": 950, ""attemp"": 3}}, {""T105"": {""avgScore"": 575, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U023,940,430,430,860,915,"[{""Topic"": ""Writing"", ""totalCorrect"": 10, ""totalIncorrect"": 8, ""averageTime"": 38}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 15, ""totalIncorrect"": 7, ""averageTime"": 23}]","[{""skill"": ""listening"", ""totalCorrect"": 20, ""totalIncorrect"": 9, ""totalTime"": 234}, {""skill"": ""reading"", ""totalCorrect"": 22, ""totalIncorrect"": 8, ""totalTime"": 331}]","[{""L101"": {""percent"": 11}}, {""L106"": {""percent"": 42}}]","[{""T105"": {""avgScore"": 840, ""attemp"": 1}}, {""T104"": {""avgScore"": 880, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U024,925,415,400,815,880,"[{""Topic"": ""Writing"", ""totalCorrect"": 5, ""totalIncorrect"": 0, ""averageTime"": 20}, {""Topic"": ""Listening"", ""totalCorrect"": 14, ""totalIncorrect"": 5, ""averageTime"": 26}]","[{""skill"": ""listening"", ""totalCorrect"": 10, ""totalIncorrect"": 3, ""totalTime"": 389}, {""skill"": ""reading"", ""totalCorrect"": 15, ""totalIncorrect"": 10, ""totalTime"": 211}]","[{""L109"": {""percent"": 37}}, {""L105"": {""percent"": 51}}]","[{""T101"": {""avgScore"": 835, ""attemp"": 1}}, {""T103"": {""avgScore"": 515, ""attemp"": 5}}, {""T105"": {""avgScore"": 580, ""attemp"": 2}}, {""T108"": {""avgScore"": 990, ""attemp"": 1}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U025,975,370,425,795,805,"[{""Topic"": ""Listening"", ""totalCorrect"": 14, ""totalIncorrect"": 8, ""averageTime"": 24}, {""Topic"": ""Reading Comprehension"", ""totalCorrect"": 20, ""totalIncorrect"": 8, ""averageTime"": 25}]","[{""skill"": ""listening"", ""totalCorrect"": 15, ""totalIncorrect"": 9, ""totalTime"": 370}, {""skill"": ""reading"", ""totalCorrect"": 18, ""totalIncorrect"": 2, ""totalTime"": 274}]","[{""L106"": {""percent"": 75}}, {""L104"": {""percent"": 20}}]","[{""T103"": {""avgScore"": 840, ""attemp"": 4}}, {""T107"": {""avgScore"": 750, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U026,950,395,440,835,945,"[{""Topic"": ""Writing"", ""totalCorrect"": 16, ""totalIncorrect"": 3, ""averageTime"": 35}, {""Topic"": ""Grammar"", ""totalCorrect"": 6, ""totalIncorrect"": 9, ""averageTime"": 32}]","[{""skill"": ""listening"", ""totalCorrect"": 19, ""totalIncorrect"": 6, ""totalTime"": 303}, {""skill"": ""reading"", ""totalCorrect"": 27, ""totalIncorrect"": 7, ""totalTime"": 386}]","[{""L109"": {""percent"": 91}}, {""L104"": {""percent"": 20}}]","[{""T105"": {""avgScore"": 590, ""attemp"": 1}}, {""T107"": {""avgScore"": 720, ""attemp"": 4}}, {""T108"": {""avgScore"": 445, ""attemp"": 1}}, {""T101"": {""avgScore"": 990, ""attemp"": 3}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U027,940,450,415,865,890,"[{""Topic"": ""Grammar"", ""totalCorrect"": 7, ""totalIncorrect"": 3, ""averageTime"": 23}, {""Topic"": ""Listening"", ""totalCorrect"": 8, ""totalIncorrect"": 4, ""averageTime"": 34}]","[{""skill"": ""listening"", ""totalCorrect"": 22, ""totalIncorrect"": 3, ""totalTime"": 239}, {""skill"": ""reading"", ""totalCorrect"": 27, ""totalIncorrect"": 10, ""totalTime"": 227}]","[{""L102"": {""percent"": 99}}, {""L104"": {""percent"": 17}}]","[{""T106"": {""avgScore"": 300, ""attemp"": 2}}, {""T108"": {""avgScore"": 760, ""attemp"": 1}}, {""T105"": {""avgScore"": 805, ""attemp"": 1}}, {""T104"": {""avgScore"": 990, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U028,885,440,360,800,825,"[{""Topic"": ""Grammar"", ""totalCorrect"": 13, ""totalIncorrect"": 8, ""averageTime"": 26}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 20, ""totalIncorrect"": 3, ""averageTime"": 29}]","[{""skill"": ""listening"", ""totalCorrect"": 11, ""totalIncorrect"": 4, ""totalTime"": 339}, {""skill"": ""reading"", ""totalCorrect"": 21, ""totalIncorrect"": 4, ""totalTime"": 318}]","[{""L103"": {""percent"": 84}}, {""L109"": {""percent"": 75}}]","[{""T103"": {""avgScore"": 340, ""attemp"": 4}}, {""T101"": {""avgScore"": 990, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U029,780,380,355,735,755,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 16, ""totalIncorrect"": 3, ""averageTime"": 21}, {""Topic"": ""Grammar"", ""totalCorrect"": 8, ""totalIncorrect"": 9, ""averageTime"": 24}]","[{""skill"": ""listening"", ""totalCorrect"": 11, ""totalIncorrect"": 9, ""totalTime"": 315}, {""skill"": ""reading"", ""totalCorrect"": 19, ""totalIncorrect"": 2, ""totalTime"": 277}]","[{""L101"": {""percent"": 39}}, {""L102"": {""percent"": 78}}]","[{""T107"": {""avgScore"": 735, ""attemp"": 5}}, {""T108"": {""avgScore"": 735, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U030,990,395,435,830,920,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 17, ""totalIncorrect"": 4, ""averageTime"": 37}, {""Topic"": ""Grammar"", ""totalCorrect"": 15, ""totalIncorrect"": 9, ""averageTime"": 20}]","[{""skill"": ""listening"", ""totalCorrect"": 26, ""totalIncorrect"": 4, ""totalTime"": 271}, {""skill"": ""reading"", ""totalCorrect"": 27, ""totalIncorrect"": 6, ""totalTime"": 226}]","[{""L103"": {""percent"": 81}}, {""L109"": {""percent"": 83}}]","[{""T106"": {""avgScore"": 345, ""attemp"": 2}}, {""T103"": {""avgScore"": 525, ""attemp"": 5}}, {""T105"": {""avgScore"": 380, ""attemp"": 5}}, {""T107"": {""avgScore"": 990, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U031,860,420,425,845,845,"[{""Topic"": ""Vocabulary"", ""totalCorrect"": 6, ""totalIncorrect"": 5, ""averageTime"": 34}, {""Topic"": ""Grammar"", ""totalCorrect"": 20, ""totalIncorrect"": 7, ""averageTime"": 27}]","[{""skill"": ""listening"", ""totalCorrect"": 10, ""totalIncorrect"": 2, ""totalTime"": 257}, {""skill"": ""reading"", ""totalCorrect"": 16, ""totalIncorrect"": 9, ""totalTime"": 372}]","[{""L107"": {""percent"": 49}}, {""L108"": {""percent"": 19}}]","[{""T103"": {""avgScore"": 365, ""attemp"": 2}}, {""T106"": {""avgScore"": 785, ""attemp"": 3}}, {""T101"": {""avgScore"": 990, ""attemp"": 2}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U032,845,395,360,755,825,"[{""Topic"": ""Grammar"", ""totalCorrect"": 14, ""totalIncorrect"": 2, ""averageTime"": 21}, {""Topic"": ""Vocabulary"", ""totalCorrect"": 9, ""totalIncorrect"": 3, ""averageTime"": 24}]","[{""skill"": ""listening"", ""totalCorrect"": 18, ""totalIncorrect"": 1, ""totalTime"": 384}, {""skill"": ""reading"", ""totalCorrect"": 22, ""totalIncorrect"": 6, ""totalTime"": 237}]","[{""L103"": {""percent"": 90}}, {""L109"": {""percent"": 48}}]","[{""T102"": {""avgScore"": 820, ""attemp"": 3}}, {""T103"": {""avgScore"": 415, ""attemp"": 5}}, {""T106"": {""avgScore"": 580, ""attemp"": 5}}, {""T105"": {""avgScore"": 990, ""attemp"": 5}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U033,870,400,395,795,800,"[{""Topic"": ""Listening"", ""totalCorrect"": 20, ""totalIncorrect"": 10, ""averageTime"": 20}, {""Topic"": ""Writing"", ""totalCorrect"": 12, ""totalIncorrect"": 7, ""averageTime"": 34}]","[{""skill"": ""listening"", ""totalCorrect"": 15, ""totalIncorrect"": 2, ""totalTime"": 240}, {""skill"": ""reading"", ""totalCorrect"": 29, ""totalIncorrect"": 2, ""totalTime"": 371}]","[{""L102"": {""percent"": 31}}, {""L105"": {""percent"": 81}}]","[{""T105"": {""avgScore"": 955, ""attemp"": 5}}, {""T109"": {""avgScore"": 875, ""attemp"": 1}}, {""T101"": {""avgScore"": 555, ""attemp"": 3}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
U034,915,350,380,730,780,"[{""Topic"": ""Reading Comprehension"", ""totalCorrect"": 15, ""totalIncorrect"": 6, ""averageTime"": 34}, {""Topic"": ""Listening"", ""totalCorrect"": 10, ""totalIncorrect"": 5, ""averageTime"": 26}]","[{""skill"": ""listening"", ""totalCorrect"": 10, ""totalIncorrect"": 3, ""totalTime"": 255}, {""skill"": ""reading"", ""totalCorrect"": 11, ""totalIncorrect"": 3, ""totalTime"": 202}]","[{""L104"": {""percent"": 22}}, {""L107"": {""percent"": 26}}]","[{""T103"": {""avgScore"": 740, ""attemp"": 2}}, {""T101"": {""avgScore"": 385, ""attemp"": 4}}, {""T104"": {""avgScore"": 990, ""attemp"": 4}}]","[""Grammar"", ""Vocabulary"", ""Reading Comprehension"", ""Listening"", ""Writing""]"
